state,state_name,district,uncontested,pct,representative,party,WARP,WAR,WAR_lower,WAR_upper
AL,Alabama,1,0,0.215231165,Barry Moore,REP,0,3.78229,-7.473032,16.007587999999984
AL,Alabama,2,0,0.54599506,Shomari Figures,DEM,2.169999999999994,-2.85912,-18.325816000000003,13.328471999999994
AL,Alabama,3,1,0,Mike Rogers,REP,0,0.864444,-11.130415000000001,13.850259999999986
AL,Alabama,4,1,0,Robert B. Aderholt,REP,0,4.43433,-4.993018000000002,14.492048999999993
AL,Alabama,5,1,0,Dale Strong,REP,0,3.19705,-11.267673000000006,18.194506999999994
AL,Alabama,6,0,0.296044708,Gary Palmer,REP,0,0.03436,-12.539424000000002,13.103531999999992
AL,Alabama,7,0,0.637203747,Terri A. Sewell,DEM,0,-2.6871099999999997,-16.768593000000003,11.773058999999995
AK,Alaska,1,0,0.487764334,Nick Begich,REP,19.920000000000005,3.60249,-12.208452,19.42231
AZ,Arizona,1,0,0.48092998,David Schweikert,REP,7.710000000000006,-0.948399,-15.627818,14.045518999999995
AZ,Arizona,2,0,0.455152371,Eli Crane,REP,2.869999999999994,-1.9884639999999998,-17.065995,12.724638999999993
AZ,Arizona,3,0,0.727442512,Yassamin Ansari,DEM,0,-0.30957799999999996,-12.405562,12.893785999999993
AZ,Arizona,4,0,0.537104238,Greg Stanton,DEM,8.090000000000009,-1.636891,-16.730885,14.040478999999994
AZ,Arizona,5,0,0.396118193,Andy Biggs,REP,0.029999999999996002,-4.89794,-18.660147,9.312178
AZ,Arizona,6,0,0.487128006,Juan Ciscomani,REP,8.78,-0.604928,-16.500069,15.62993399999998
AZ,Arizona,7,0,0.634490851,Raúl Grijalva,DEM,0.039999999999995,-3.6336,-17.052066,10.548000999999996
AZ,Arizona,8,0,0.434992797,"Abraham ""Abe"" Hamadeh",REP,0.070000000000003,-5.91812,-20.55286,8.896463999999982
AZ,Arizona,9,0,0.34702255,Paul Gosar,REP,0,-2.28351,-14.866252,11.488167999999996
AR,Arkansas,1,0,0.247708868,Rick Crawford,REP,0,1.9536259999999999,-9.263854,14.10731499999999
AR,Arkansas,2,0,0.410652136,French Hill,REP,0.709999999999999,2.07818,-11.862739,16.107598
AR,Arkansas,3,0,0.332410088,Steve Womack,REP,0,1.86344,-11.206423000000006,15.527630999999992
AR,Arkansas,4,0,0.270883209,Bruce Westerman,REP,0,3.77833,-8.010247,16.427752999999992
CA,California,1,0,0.346573609,Doug LaMalfa,REP,0.009999999999998,-0.487266,-14.095714000000001,13.418840999999956
CA,California,2,0,0.718837671,Jared Huffman,DEM,0,0.617776,-10.929962999999999,13.106354999999992
CA,California,3,0,0.445326097,Kevin Kiley,REP,8.819999999999995,-0.10675109999999999,-15.089667,15.302021
CA,California,4,0,0.664555854,Mike Thompson,DEM,0,3.7410699999999997,-8.965245,17.125411999999994
CA,California,5,0,0.382348153,Tom McClintock,REP,0.1,-4.19863,-17.880823,9.990808
CA,California,6,0,0.576189945,Ami Bera,DEM,2.070000000000005,-2.63991,-16.72136,12.156333
CA,California,7,0,0.667508537,Doris Matsui,DEM,0,1.512449999999998,-11.207155,14.78587099999999
CA,California,8,0,0.739706259,John Garamendi,DEM,0,-2.3518399999999997,-13.210594,9.374364999999996
CA,California,9,0,0.517920726,Josh Harder,DEM,13.140000000000008,0.48032600000000003,-14.211039,15.250093999999997
CA,California,10,0,0.664734573,Mark DeSaulnier,DEM,0,-0.987943,-13.766203000000003,12.556224999999996
CA,California,11,0,0.810342336,Nancy Pelosi,DEM,0,3.53701,-4.886926,13.363068
CA,California,12,1,1,Lateefah Simon,DEM,0,0.130465,-10.221187,10.328784999999996
CA,California,13,0,0.500443294,Adam Gray,DEM,-12.7,-1.421052,-17.582633,15.191134999999994
CA,California,14,0,0.677536651,Eric Swalwell,DEM,0,-1.263572,-13.707768000000003,11.758080999999999
CA,California,15,0,0.730970077,Kevin Mullin,DEM,0,-1.137772,-12.782386,11.695939999999998
CA,California,16,1,1,Sam Liccardo,DEM,0,-0.1248585,-14.676345000000001,14.367465
CA,California,17,0,0.676647952,Ro Khanna,DEM,0,-3.51138,-15.933058000000003,9.81009
CA,California,18,0,0.646258742,Zoe Lofgren,DEM,0.019999999999997,1.094273,-12.160755,15.072804999999988
CA,California,19,0,0.692956741,Jimmy Panetta,DEM,0,2.70496,-10.354125000000002,16.018400999999997
CA,California,20,1,0,Vince Fong,REP,0,1.4195229999999999,-14.524088000000003,17.105268999999996
CA,California,21,0,0.525737607,Jim Costa,DEM,-9.599999999999996,-8.13435,-22.1967,6.927040999999997
CA,California,22,0,0.465789489,David G. Valadao,REP,66.63,12.727149999999998,-2.1797290000000022,27.55921
CA,California,23,0,0.398578058,Jay Obernolte,REP,0.619999999999998,-0.939378999999998,-15.040336000000002,13.925162999999996
CA,California,24,0,0.626969829,Salud Carbajal,DEM,0.039999999999995,-2.57297,-16.518969000000002,11.70611099999999
CA,California,25,0,0.562528823,Raul Ruiz,DEM,14.939999999999998,6.80856,-7.959261000000002,21.120820000000002
CA,California,26,0,0.560543335,Julia Brownley,DEM,3.5399999999999987,-2.115129999999998,-16.378397,12.468166999999998
CA,California,27,0,0.513312673,George Whitesides,DEM,14.139999999999997,1.957362,-14.171848,18.233822999999997
CA,California,28,0,0.649286857,Judy Chu,DEM,0.019999999999997,1.674591999999998,-11.951175000000001,15.779105999999974
CA,California,29,0,0.697767138,Luz Maria Rivas,DEM,0,-0.602396,-13.56673,13.424650999999995
CA,California,30,0,0.683760135,Laura Friedman,DEM,0,-3.1914399999999983,-16.19761400000001,10.060069999999994
CA,California,31,0,0.597275268,Gil Cisneros,DEM,1.050000000000006,-1.9729279999999998,-16.413864000000004,12.944920999999987
CA,California,32,0,0.662015576,Brad Sherman,DEM,0,-1.6390310000000001,-14.235197000000003,11.676538999999995
CA,California,33,0,0.588134176,Pete Aguilar,DEM,0.720000000000009,-3.88198,-17.719686000000003,10.709750999999992
CA,California,34,1,1,Jimmy Gomez,DEM,0,0.728514,-12.811480000000003,14.158705999999995
CA,California,35,0,0.584072274,Norma J. Torres,DEM,1.700000000000001,-1.578207,-16.030873,13.431520999999991
CA,California,36,0,0.687181378,Ted W. Lieu,DEM,0,-2.8944199999999998,-15.554202,10.092388999999997
CA,California,37,1,1,Sydney Kamlager-Dove,DEM,0,0.716328,-10.840171,12.100911999999996
CA,California,38,0,0.598380737,Linda T. Sánchez,DEM,0.730000000000008,-3.6296399999999998,-18.128745,10.956334
CA,California,39,0,0.566885831,Mark Takano,DEM,0.6900000000000011,-3.29847,-17.530211000000005,11.136338999999998
CA,California,40,0,0.447396614,Young Kim,REP,8.950000000000003,2.78886,-11.630002000000001,17.736937
CA,California,41,0,0.483090465,Ken Calvert,REP,2.729999999999999,-2.79514,-17.518939,12.241951999999994
CA,California,42,0,0.68141358,Robert Garcia,DEM,0.009999999999998,-0.010599329999999999,-13.644987,14.41615999999996
CA,California,43,0,0.750731598,Maxine Waters,DEM,0,-3.4385899999999996,-13.802954,7.806797999999995
CA,California,44,0,0.713725677,Nanette Diaz Barragán,DEM,0,2.49131,-9.924080000000002,15.570723000000001
CA,California,45,0,0.501033637,Derek Tran,DEM,15.409999999999998,4.58677,-11.125316000000002,20.2736
CA,California,46,0,0.634254965,Lou Correa,DEM,0.229999999999996,-0.23172800000000002,-14.018715,13.803023
CA,California,47,0,0.51438964,Dave Min,DEM,4.680000000000006,-0.9563159999999999,-17.051376,15.184176999999979
CA,California,48,0,0.407074856,Darrell E. Issa,REP,0.450000000000005,-2.49079,-16.134968,11.834956999999992
CA,California,49,0,0.521735338,Mike Levin,DEM,6.590000000000007,-1.377184,-16.265870000000003,13.714296999999998
CA,California,50,0,0.642748028,Scott Peters,DEM,0.009999999999998,-4.00847,-17.382999,10.081358
CA,California,51,0,0.606974089,Sara Jacobs,DEM,0.119999999999997,-1.525242,-15.655034,12.752029999999994
CA,California,52,0,0.663092277,Juan Vargas,DEM,0.029999999999996002,1.658291,-11.794393,15.899193999999998
CO,Colorado,1,0,0.780079244,Diana DeGette,DEM,0,-0.30680999999999997,-10.165688000000001,10.436246999999998
CO,Colorado,2,0,0.702601158,Joe Neguse,DEM,0,-2.0291099999999997,-14.133401000000001,11.355830999999998
CO,Colorado,3,0,0.474220121,Jeff Hurd,REP,0.8099999999999989,-3.81603,-19.512324,11.666410999999991
CO,Colorado,4,0,0.43935985,Lauren Boebert,REP,0.019999999999997,-8.64194,-22.665750000000003,5.719543999999992
CO,Colorado,5,0,0.427793325,Jeff Crank,REP,1.72000000000001,-1.398995,-16.203033,13.702641999999996
CO,Colorado,6,0,0.605285791,Jason Crow,DEM,0.21999999999999703,0.41658,-13.522069,14.907997999999994
CO,Colorado,7,0,0.573504542,Brittany Pettersen,DEM,5.3799999999999955,1.957147,-12.628632000000001,16.794699999999995
CO,Colorado,8,0,0.496222906,Gabe Evans,REP,3.170000000000006,0.43999299999999997,-15.568139,16.103806999999986
CT,Connecticut,1,0,0.644547347,John B. Larson,DEM,0.039999999999995,1.234916,-12.250853000000001,15.013199999999994
CT,Connecticut,2,0,0.580156366,Joe Courtney,DEM,28.04000000000001,12.2668,-2.3118659999999998,26.83442999999998
CT,Connecticut,3,0,0.589068635,Rosa L. DeLauro,DEM,0.739999999999996,5.483169999999999,-8.366669,19.677003999999993
CT,Connecticut,4,0,0.620522028,Jim Himes,DEM,0.009999999999998,-3.04374,-16.565480000000004,10.851932999999992
CT,Connecticut,5,0,0.534086263,Jahana Hayes,DEM,16.01,0.643204,-14.257968000000002,15.892577999999999
DE,Delaware,1,0,0.588914689,Sarah McBride,DEM,0.350000000000005,-1.9946430000000002,-16.231675000000003,12.939632999999995
FL,Florida,1,0,0.426258972,Matt Gaetz,REP,0,-8.98587,-21.63458,4.131356999999998
FL,Florida,2,0,0.383620861,Neal Dunn,REP,1.060000000000005,3.83877,-10.321220000000002,18.246207000000002
FL,Florida,3,0,0.383906789,Kat Cammack,REP,0.29000000000000103,1.904635,-11.946952,16.53083799999999
FL,Florida,4,0,0.427304289,Aaron Bean,REP,7.799999999999995,3.32505,-12.934384000000001,19.33289999999999
