cycle,state_name,district,party,candidate,politician_id,exclusions
1998,Alabama,Class III,DEM,Clayton Suddith,2461,
1998,Alabama,Class III,REP,Richard C. Shelby,363,
1998,Alaska,Class III,GRE,Jeffrey Gottlieb,13553,x
1998,Alaska,Class III,DEM,Joseph A. Sonneman,13552,
1998,Alaska,Class III,REP,Frank Murkowski,9358,
1998,Alaska,Class III,LIB,Scott A. Kohlhaas,4543,x
1998,Arizona,Class III,REP,John McCain,43,
1998,Arizona,Class III,DEM,Edward Ranger,9844,
1998,Arizona,Class III,LIB,John C. Zajac,12661,x
1998,Arizona,Class III,REF,Robert Park,12662,x
1998,Arkansas,Class III,REP,Fay Boozman,2462,
1998,Arkansas,Class III,REF,Charles E. Heffley,12663,x
1998,Arkansas,Class III,DEM,Blanche Lincoln,379,
1998,California,Class III,PAF,Ophie C. Beltran,12665,x
1998,California,Class III,NLP,Brian M. Rees,11528,x
1998,California,Class III,AIP,H. Joseph Perrin,12664,x
1998,California,Class III,DEM,Barbara Boxer,66,
1998,California,Class III,REP,Matt Fong,2464,
1998,California,Class III,REF,Timothy R. Erich,12666,x
1998,California,Class III,LIB,Ted Brown,12445,x
1998,Colorado,Class III,DEM,Dottie Lamm,2466,
1998,Colorado,Class III,REP,Ben Nighthorse Campbell,2465,
1998,Colorado,Class III,LIB,David S. Segal,12668,x
1998,Colorado,Class III,CON,Kevin P. Swanson,12667,x
1998,Colorado,Class III,OTH,John J. Heckman,11837,x
1998,Colorado,Class III,OTH,Gary Swing,3868,x
1998,Colorado,Class III,NLP,Jeffrey Lee Peckman,12669,x
1998,Connecticut,Class III,CNC,William Kozak,9854,x
1998,Connecticut,Class III,OTH,Lois Grasso,12670,x
1998,Connecticut,Class III,REP,Gary A. Franks,2467,
1998,Connecticut,Class III,DEM,Christopher J. Dodd,45,
1998,Connecticut,Class III,LIB,Wildey Judd Moore,11532,x
1998,Florida,Class III,REP,Charlie Crist,479,
1998,Florida,Class III,DEM,Bob Graham,141,
1998,Georgia,Class III,REP,Paul Coverdell,2468,
1998,Georgia,Class III,LIB,Bert Loftman,12671,x
1998,Georgia,Class III,DEM,Michael J. Coles,2469,
1998,Hawaii,Class III,LIB,Lloyd Jeffrey Mallan,11544,x
1998,Hawaii,Class III,DEM,Daniel K. Inouye,504,
1998,Hawaii,Class III,REP,Crystal Young,13554,
1998,Idaho,Class III,NLP,George J. Mansfeld,13555,x
1998,Idaho,Class III,REP,Mike Crapo,525,
1998,Idaho,Class III,DEM,Bill Mauk,2473,
1998,Illinois,Class III,DEM,Carol Moseley-Braun,140,
1998,Illinois,Class III,REF,Don A. Torgersen,12672,x
1998,Illinois,Class III,REP,Peter G. Fitzgerald,2474,
1998,Illinois,Class III,UST,Bud Stalker,12673,x
1998,Indiana,Class III,DEM,Evan Bayh,60,
1998,Indiana,Class III,REP,Paul Helmke,2475,
1998,Indiana,Class III,LIB,Rebecca Sink-Burris,1356,x
1998,Iowa,Class III,NLP,Susan Marcus,12674,x
1998,Iowa,Class III,REP,Chuck Grassley,517,
1998,Iowa,Class III,DEM,David Osterberg,2472,
1998,Iowa,Class III,SWP,Margaret Trowe,12675,x
1998,Kansas,Class III,DEM,Paul Feleciano,2476,
