state_name,district,uncontested,pct,representative,party,WARP,WAR,WAR_lower,WAR_upper
Arizona,Class I,0,0.512312292,Ruben Gallego,DEM,0.07839999999999997,0.006267285,-0.079752205,0.09287629499999996
California,Class I,0,0.588725172,Adam B. Schiff,DEM,0.006399999999999961,-0.004340190000000001,-0.08737867500000002,0.0806776399999999
Connecticut,Class I,0,0.596023946,Christopher S. Murphy,DEM,0.028800000000000048,0.0055912900000000005,-0.08274668,0.09363757499999999
Delaware,Class I,0,0.588914689,Lisa Blunt Rochester,DEM,0.030000000000000027,0.008411245,-0.07934089,0.09340992999999997
Florida,Class I,0,0.435041244,Rick Scott,REP,0.11909999999999998,0.01620475,-0.07163975,0.10453654999999994
Hawaii,Class I,0,0.669450244,Mazie K. Hirono,DEM,0.0,-0.0112781,-0.08824535500000001,0.066194835
Indiana,Class I,0,0.397993889,Jim Banks,REP,0.0,-0.01597325,-0.09449429500000002,0.06691465999999999
Maine,Class I,0,0.600463137,Angus S. King Jr.,DEM,0.08639999999999992,0.0300991,-0.05620979,0.11748759999999996
Maryland,Class I,0,0.560532599,Angela Alsobrooks,DEM,0.005899999999999905,-0.01237875,-0.09365443,0.07464579499999999
Massachusetts,Class I,0,0.59923989,Elizabeth Ann Warren,DEM,0.0010000000000000009,-0.0112979,-0.09363238,0.072778715
Michigan,Class I,0,0.501757743,Elissa Slotkin,DEM,-0.016200000000000103,-0.002285635,-0.0920466,0.08386918999999997
Minnesota,Class I,0,0.581177717,Amy Klobuchar,DEM,0.13090000000000002,0.03679915,-0.04803152,0.1217891
Mississippi,Class I,0,0.371878088,Roger F. Wicker,REP,0.0015000000000000568,0.0008655430000000001,-0.08156432500000001,0.08635242999999995
Missouri,Class I,0,0.429518223,Josh Hawley,REP,0.025899999999999923,0.007550885,-0.07871773000000001,0.09496151499999987
Montana,Class I,0,0.463609106,Tim Sheehy,REP,0.046700000000000075,-0.00021169249999999999,-0.08561725500000002,0.08663173499999999
Nebraska,Class II,0,0.374224737,Pete Ricketts,REP,0.00029999999999996696,-0.005680395,-0.088718055,0.07924530999999994
Nebraska,Class I,0,0.466529574,Deb Fischer,REP,0.0024000000000000687,-0.0168248,-0.10183450000000001,0.07201761
Nevada,Class I,0,0.508728724,Jacky S. Rosen,DEM,0.09670000000000006,0.007922605,-0.08036112499999999,0.09467761499999999
New Jersey,Class I,0,0.549287689,Andy Kim,DEM,0.01870000000000005,-0.00512496,-0.09108927,0.08202753499999994
New Mexico,Class I,0,0.550566748,Martin Heinrich,DEM,0.11769999999999992,0.01372785,-0.07200672500000001,0.10060254999999997
New York,Class I,0,0.592064103,Kirsten E. Gillibrand,DEM,0.008900000000000019,0.0122443,-0.07032301500000002,0.09473608999999997
North Dakota,Class I,0,0.334834004,Kevin Cramer,REP,0.0045000000000000595,0.0224844,-0.06222131,0.10522599999999992
Ohio,Class I,0,0.48126166,Bernie Moreno,REP,0.006199999999999983,-0.00338078,-0.089785875,0.08381744999999997
Pennsylvania,Class I,0,0.498885896,Dave McCormick,REP,0.013499999999999956,0.00177795,-0.08329777499999999,0.08979324999999996
Rhode Island,Class I,0,0.600494392,Sheldon Whitehouse,DEM,0.03170000000000006,0.01525365,-0.07066699500000001,0.09886831
Tennessee,Class I,0,0.348740617,Marsha Blackburn,REP,0.0018000000000000238,0.008771095,-0.07375804000000002,0.09184432499999992
Texas,Class I,0,0.45647374,Ted Cruz,REP,-0.005299999999999971,-0.01551615,-0.10271690000000001,0.071372855
Utah,Class I,0,0.336796656,John Curtis,REP,0.0018000000000000238,0.01564425,-0.06348015,0.09813586499999989
Vermont,Class I,0,0.663202685,Bernie Sanders,DEM,0.00039999999999995595,0.01877875,-0.06058695000000001,0.09757371499999995
Virginia,Class I,0,0.544760161,Timothy Michael Kaine,DEM,0.1935,0.01870635,-0.06888762,0.10596915
Washington,Class I,0,0.592508372,Maria Cantwell,DEM,0.00660000000000005,-0.008267395,-0.09174617,0.07567169999999998
West Virginia,Class I,0,0.28761119,Jim Justice,REP,0.00009999999999998899,0.016410349999999997,-0.05931311,0.09325939
Wisconsin,Class I,0,0.504338705,Tammy Baldwin,DEM,-0.025699999999999945,-0.00407879,-0.09090872,0.08373169500000001
Wyoming,Class I,0,0.243098285,John Barrasso,REP,0.0,0.0267644,-0.0419893,0.09994867999999998
